id_CCAA;provincia;valor;fecha
01;andalucia;1149.7;2013
02;aragon;1285.36;2013
03;asturias;1445.51;2013
04;baleares;1242.32;2013
05;canarias;1344.58;2013
06;cantabria;1413.4;2013
07;castillayleon;1410.37;2013
08;castillalamancha;1271.53;2013
09;cataluna;1323.79;2013
10;comunidadvalenciana;1239.07;2013
11;extremadura;1442.37;2013
12;galicia;1338.3;2013
13;madrid;1202.47;2013
14;murcia;1505.74;2013
15;navarra;1522.57;2013
16;paisvasco;1570.41;2013
17;riojala;1331.31;2013
18;ceuta;1396.96;2013
19;melilla;1329.77;2013
