ID_PROVINCIA;PROVINCIA;2009_URG_NO;2009_URG_SI;2009_TOTAL;2010_URG_NO;2010_URG_SI;2010_TOTAL;2011_URG_NO;2011_URG_SI;2011_TOTAL;2012_URG_NO;2012_URG_SI;2012_TOTAL;2013_URG_NO;2013_URG_SI;2013_TOTAL;2014_URG_NO;2014_URG_SI;2014_TOTAL
01;ÁLAVA;55;2;57;55;2;57;52;5;57;52;5;57;52;5;57;46;12;58
02;ALBACETE;158;27;185;158;27;185;155;27;182;155;27;182;155;27;182;156;27;183
03;ALICANTE;210;52;262;210;52;262;215;52;267;215;52;267;223;55;278;217;55;272
04;ALMERÍA;191;35;226;191;35;226;192;36;228;195;33;228;196;37;233;193;36;229
05;ÁVILA;322;20;342;320;20;340;320;20;340;320;20;340;320;20;340;330;20;350
06;BADAJOZ;164;61;225;159;67;226;159;67;226;159;67;226;162;67;229;162;67;229
07;ILLES BALEARS;125;34;159;125;35;160;126;34;160;126;34;160;126;34;160;128;34;162
08;BARCELONA;374;101;475;373;101;474;387;105;492;344;151;495;350;150;500;347;149;496
09;BURGOS;654;32;686;652;31;683;653;31;684;653;31;684;653;31;684;606;30;636
10;CÁCERES;234;61;295;237;61;298;235;61;296;235;61;296;244;61;305;238;61;299
11;CÁDIZ;78;45;123;80;45;125;81;44;125;79;45;124;82;49;131;84;46;130
12;CASTELLÓN;142;36;178;142;36;178;143;36;179;143;36;179;159;38;197;158;37;195
13;CIUDAD REAL;114;39;153;114;39;153;117;39;156;117;39;156;116;40;156;106;40;146
14;CÓRDOBA;104;37;141;104;37;141;104;37;141;97;44;141;100;44;144;101;42;143
15;A CORUÑA;141;32;173;138;34;172;133;34;167;133;34;167;134;33;167;131;32;163
16;CUENCA;270;38;308;270;38;308;271;38;309;271;38;309;271;38;309;272;38;310
17;GIRONA;203;36;239;202;36;238;208;38;246;222;24;246;222;24;246;222;24;246
18;GRANADA;290;39;329;290;39;329;290;39;329;288;41;329;290;44;334;287;43;330
19;GUADALAJARA;424;27;451;424;27;451;424;27;451;424;27;451;422;29;451;418;28;446
20;GUIPÚZCOA;92;9;101;87;11;98;84;14;98;84;14;98;84;14;98;85;13;98
21;HUELVA;86;38;124;86;38;124;86;38;124;85;39;124;84;42;126;84;41;125
22;HUESCA;352;29;381;313;29;342;318;28;346;314;27;341;314;27;341;314;27;341
23;JAÉN;148;48;196;149;48;197;149;48;197;145;51;196;146;51;197;146;51;197
24;LEÓN;735;33;768;735;33;768;733;34;767;733;34;767;733;34;767;736;33;769
25;LLEIDA;277;25;302;277;25;302;277;25;302;280;22;302;280;22;302;280;22;302
26;LA RIOJA;169;24;193;169;24;193;171;22;193;171;22;193;173;22;195;172;22;194
27;LUGO;66;20;86;66;20;86;66;20;86;66;20;86;67;19;86;66;19;85
28;MADRID;335;74;409;338;74;412;335;78;413;335;78;413;347;71;418;347;70;417
29;MÁLAGA;131;46;177;131;45;176;133;44;177;132;45;177;132;49;181;136;43;179
30;MURCIA;215;52;267;219;51;270;220;51;271;218;49;267;221;49;270;219;49;268
31;NAVARRA;262;39;301;262;40;302;258;45;303;258;45;303;259;45;304;246;55;301
32;OURENSE;97;12;109;97;12;109;94;15;109;94;15;109;93;16;109;96;12;108
33;ASTURIAS;121;91;212;120;91;211;127;91;218;128;91;219;130;91;221;128;91;219
34;PALENCIA;296;18;314;296;18;314;296;18;314;296;18;314;296;18;314;299;18;317
35;LAS PALMAS;73;40;113;72;40;112;73;40;113;82;38;120;80;40;120;80;40;120
36;PONTEVEDRA;87;31;118;93;23;116;90;24;114;90;24;114;102;28;130;88;24;112
37;SALAMANCA;409;27;436;409;26;435;415;27;442;415;27;442;415;27;442;418;27;445
38;SANTA CRUZ DE TENERIFE;105;33;138;105;32;137;108;32;140;107;37;144;107;36;143;105;36;141
39;CANTABRIA;132;26;158;132;27;159;122;28;150;122;28;150;123;29;152;128;29;157
40;SEGOVIA;294;20;314;293;20;313;290;20;310;290;20;310;290;20;310;295;20;315
41;SEVILLA;116;67;183;115;67;182;116;68;184;111;73;184;117;71;188;118;66;184
42;SORIA;345;15;360;345;15;360;339;15;354;339;15;354;339;15;354;344;15;359
43;TARRAGONA;195;33;228;195;33;228;195;33;228;213;15;228;213;15;228;213;15;228
44;TERUEL;263;31;294;259;30;289;259;30;289;259;30;289;259;30;289;259;30;289
45;TOLEDO;200;45;245;198;44;242;198;45;243;197;45;242;196;46;242;194;46;240
46;VALENCIA;323;83;406;323;83;406;330;83;413;330;83;413;338;86;424;336;85;421
47;VALLADOLID;232;36;268;231;36;267;231;35;266;231;35;266;231;35;266;229;35;264
48;VIZCAYA;148;15;163;148;16;164;137;27;164;137;27;164;140;27;167;141;26;167
49;ZAMORA;414;19;433;413;19;432;413;19;432;413;19;432;413;19;432;417;19;436
50;ZARAGOZA;319;44;363;318;43;361;317;43;360;318;42;360;319;42;361;317;42;359
51;CEUTA;0;3;3;0;3;3;0;3;3;0;3;3;0;3;3;0;3;3
52;MELILLA;1;3;4;1;3;4;1;3;4;1;3;4;1;3;4;1;3;4
Total general;;11291;1883;13174;11239;1881;13120;11246;1916;13162;11222;1943;13165;11319;1968;13287;11239;1948;13187
