ID_PROVINCIA;PROVINCIA;2009_TOTAL;2010_TOTAL;2011_TOTAL;2012_TOTAL;2013_TOTAL;2014_TOTAL;VAR_09_10;VAR_10_11;VAR_11_12;VAR_12_13;VAR_13_14
01;ÁLAVA;57;57;57;57;57;58;0,00%;0,00%;0,00%;0,00%;1,75%
02;ALBACETE;185;185;182;182;182;183;0,00%;-1,62%;0,00%;0,00%;0,55%
03;ALICANTE;262;262;267;267;278;272;0,00%;1,91%;0,00%;4,12%;-2,16%
04;ALMERÍA;226;226;228;228;233;229;0,00%;0,88%;0,00%;2,19%;-1,72%
05;ÁVILA;342;340;340;340;340;350;-0,58%;0,00%;0,00%;0,00%;2,94%
06;BADAJOZ;225;226;226;226;229;229;0,44%;0,00%;0,00%;1,33%;0,00%
07;ILLES BALEARS;159;160;160;160;160;162;0,63%;0,00%;0,00%;0,00%;1,25%
08;BARCELONA;475;474;492;495;500;496;-0,21%;3,80%;0,61%;1,01%;-0,80%
09;BURGOS;686;683;684;684;684;636;-0,44%;0,15%;0,00%;0,00%;-7,02%
10;CÁCERES;295;298;296;296;305;299;1,02%;-0,67%;0,00%;3,04%;-1,97%
11;CÁDIZ;123;125;125;124;131;130;1,63%;0,00%;-0,80%;5,65%;-0,76%
12;CASTELLÓN;178;178;179;179;197;195;0,00%;0,56%;0,00%;10,06%;-1,02%
13;CIUDAD REAL;153;153;156;156;156;146;0,00%;1,96%;0,00%;0,00%;-6,41%
14;CÓRDOBA;141;141;141;141;144;143;0,00%;0,00%;0,00%;2,13%;-0,69%
15;A CORUÑA;173;172;167;167;167;163;-0,58%;-2,91%;0,00%;0,00%;-2,40%
16;CUENCA;308;308;309;309;309;310;0,00%;0,32%;0,00%;0,00%;0,32%
17;GIRONA;239;238;246;246;246;246;-0,42%;3,36%;0,00%;0,00%;0,00%
18;GRANADA;329;329;329;329;334;330;0,00%;0,00%;0,00%;1,52%;-1,20%
19;GUADALAJARA;451;451;451;451;451;446;0,00%;0,00%;0,00%;0,00%;-1,11%
20;GUIPÚZCOA;101;98;98;98;98;98;-2,97%;0,00%;0,00%;0,00%;0,00%
21;HUELVA;124;124;124;124;126;125;0,00%;0,00%;0,00%;1,61%;-0,79%
22;HUESCA;381;342;346;341;341;341;-10,24%;1,17%;-1,45%;0,00%;0,00%
23;JAÉN;196;197;197;196;197;197;0,51%;0,00%;-0,51%;0,51%;0,00%
24;LEÓN;768;768;767;767;767;769;0,00%;-0,13%;0,00%;0,00%;0,26%
25;LLEIDA;302;302;302;302;302;302;0,00%;0,00%;0,00%;0,00%;0,00%
26;LA RIOJA;193;193;193;193;195;194;0,00%;0,00%;0,00%;1,04%;-0,51%
27;LUGO;86;86;86;86;86;85;0,00%;0,00%;0,00%;0,00%;-1,16%
28;MADRID;409;412;413;413;418;417;0,73%;0,24%;0,00%;1,21%;-0,24%
29;MÁLAGA;177;176;177;177;181;179;-0,56%;0,57%;0,00%;2,26%;-1,10%
30;MURCIA;267;270;271;267;270;268;1,12%;0,37%;-1,48%;1,12%;-0,74%
31;NAVARRA;301;302;303;303;304;301;0,33%;0,33%;0,00%;0,33%;-0,99%
32;OURENSE;109;109;109;109;109;108;0,00%;0,00%;0,00%;0,00%;-0,92%
33;ASTURIAS;212;211;218;219;221;219;-0,47%;3,32%;0,46%;0,91%;-0,90%
34;PALENCIA;314;314;314;314;314;317;0,00%;0,00%;0,00%;0,00%;0,96%
35;LAS PALMAS;113;112;113;120;120;120;-0,88%;0,89%;6,19%;0,00%;0,00%
36;PONTEVEDRA;118;116;114;114;130;112;-1,69%;-1,72%;0,00%;14,04%;-13,85%
37;SALAMANCA;436;435;442;442;442;445;-0,23%;1,61%;0,00%;0,00%;0,68%
38;SANTA CRUZ DE TENERIFE;138;137;140;144;143;141;-0,72%;2,19%;2,86%;-0,69%;-1,40%
39;CANTABRIA;158;159;150;150;152;157;0,63%;-5,66%;0,00%;1,33%;3,29%
40;SEGOVIA;314;313;310;310;310;315;-0,32%;-0,96%;0,00%;0,00%;1,61%
41;SEVILLA;183;182;184;184;188;184;-0,55%;1,10%;0,00%;2,17%;-2,13%
42;SORIA;360;360;354;354;354;359;0,00%;-1,67%;0,00%;0,00%;1,41%
43;TARRAGONA;228;228;228;228;228;228;0,00%;0,00%;0,00%;0,00%;0,00%
44;TERUEL;294;289;289;289;289;289;-1,70%;0,00%;0,00%;0,00%;0,00%
45;TOLEDO;245;242;243;242;242;240;-1,22%;0,41%;-0,41%;0,00%;-0,83%
46;VALENCIA;406;406;413;413;424;421;0,00%;1,72%;0,00%;2,66%;-0,71%
47;VALLADOLID;268;267;266;266;266;264;-0,37%;-0,37%;0,00%;0,00%;-0,75%
48;VIZCAYA;163;164;164;164;167;167;0,61%;0,00%;0,00%;1,83%;0,00%
49;ZAMORA;433;432;432;432;432;436;-0,23%;0,00%;0,00%;0,00%;0,93%
50;ZARAGOZA;363;361;360;360;361;359;-0,55%;-0,28%;0,00%;0,28%;-0,55%
51;CEUTA;3;3;3;3;3;3;0,00%;0,00%;0,00%;0,00%;0,00%
52;MELILLA;4;4;4;4;4;4;0,00%;0,00%;0,00%;0,00%;0,00%
Total general;;13174;13120;13162;13165;13287;13187;-0,41%;0,32%;0,02%;0,93%;-0,75%
