CC.AA;Población;Vacunados;%
Andalucía;1.314.944;789.213;60
Aragón;269.488;154.877;57,5
Asturias;253.461;142.444;56,2
Baleares;159.730;73.312;45,9
Canarias;283.861;163.073;57,4
Cantabria;117.680;67.447;57,3
Castilla y León;590.962;390.637;66,1
Castilla La Mancha;393.673;212.709;54
Cataluña*;1.738.819;939.591;54
C. Valenciana;897.351;454.250;50,6
Extremadura;270.373;137.433;50,8
Galicia**;648.045;339.383;52,4
Madrid;1.023.023;595.669;58,2
Murcia***;213.911;105.508;49,3
Navarra;116.203;69.805;60,1
Pais Vasco;464.514;280.037;60,3
La Rioja;61.931;41.160;66,5
Ceuta;8.948;2.587;28,9
Melilla;8.198;3.126;38,1
TOTAL;8.835.115;4.962.261;56,2
